Name,Constituency,Party,Cases,Education,Assets,Liabilities
Parmar Vijay,RAJKOT,BSP,4,12th Pass,"5,35,000",0
A M Ariff,ALAPPUZHA,CPI(M),2,Graduate Professional,"1,52,68,906","22,20,700"
A Narayanaswamy,CHITRADURGA,BJP,0,Graduate,"9,61,97,642",0
A Natarajan,COIMBATORE,IND,0,5th Pass,"7,000",0
A Pradeep Kumar,KOZHIKODE,CPI(M),1,12th Pass,"1,19,15,342","20,79,872"
A T Dadakhalandar,DAVANAGERE,IND,0,10th Pass,"1,30,139","20,403"
A. Beemarao Milinther,VELLORE,IND,0,10th Pass,"50,000",0
A. Christhuraj,BANGALORE CENTRAL,IND,0,10th Pass,"6,91,000","3,75,000"
A. Devadas,BELLARY,SUCI(C),0,8th Pass,"19,43,531",0
A. Habeebulla,VELLORE,Desiya Uzhavar Uzhaipalar Kazhagam,0,5th Pass,"7,75,500",0
A. Hafeez A. Aziz,BULDHANA,BSP,0,12th Pass,"11,66,769","7,00,000"
A. Hemanth,CHITTOOR,IND,0,5th Pass,"50,000",0
A. J. Patel,MAHESANA,INC,0,Graduate Professional,"69,87,73,712","9,62,20,673"
A. Jayamani,CUDDALORE,IND,0,Graduate Professional,"9,10,000",0
A. Manikandan,CUDDALORE,Purvanchal Janta Party (Secular),0,8th Pass,"4,91,750","9,20,000"
A. Marimuthu,CUDDALORE,IND,0,Graduate Professional,"3,68,000",0
A. Raja,NILGIRIS,DMK,6,Graduate Professional,"4,95,91,024","14,24,914"
A. Vijaya Kumar,VELLORE,IND,0,12th Pass,"2,07,50,344",0
A.A. Sabri,CHEVELLA,IND,0,12th Pass,"23,26,979",0
A.Antony Sesu Raja,SIVAGANGA,IND,0,10th Pass,"17,92,000","8,00,000"
A.C. Shanmugam,VELLORE,AIADMK,0,Graduate,"1,25,84,59,641","36,31,32,594"
A.G. Mourya,CHENNAI NORTH,Makkal Needhi Maiam,0,Post Graduate,"4,15,90,000","1,24,97,000"
A.G.Pathimaraj,PUDUCHERRY,BSP,0,Graduate Professional,"3,97,117","1,79,146"
A.J.Sherine,CHENNAI SOUTH,Naam Tamilar Katchi,0,Post Graduate,"34,66,760",0
A.K. Moorthy,ARAKKONAM,Pattali Makkal Katchi,6,Post Graduate,"4,60,23,417","77,10,578"
A.Manikandan,TIRUVALLUR,IND,0,12th Pass,"3,32,400","53,000"
A.Naresh,CHENNAI SOUTH,Tamil Nadu Ilangyar Katchi,0,Graduate Professional,"2,40,000","14,000"
A.Radha Krishnan,SIVAGANGA,IND,0,12th Pass,"2,20,000","3,35,000"
A.Raju,BANGALORE SOUTH,BSP,0,Graduate,"5,44,19,000","4,60,000"
A.Sampath,ATTINGAL,CPI(M),0,Doctorate,"3,84,48,688","36,11,333"
A.Senthilvel,TIRUPPUR,IND,0,8th Pass,"42,56,700",0
A.Velladurai,SIVAGANGA,Ezhuchi Tamilargal Munnetra Kazhagam,0,8th Pass,"28,15,600","63,000"
Aadhi Krishnan P,KARUR,BSP,0,Literate,"1,74,852","18,269"
Aadil,HARIDWAR,IND,0,Literate,"8,64,000",0
Aamin Mamadbhai Safiya,JAMNAGAR,IND,0,8th Pass,"46,100",0
Aantroliya Karabhai,PORBANDAR,IND,0,8th Pass,"7,60,000","13,29,600"
Aappa Aaba Lokare	,MADHA,BSP,0,8th Pass,"97,90,000",0
Aare Ellanna,ADILABAD,IND,0,5th Pass,"30,000",0
Aare Sayanna,NIZAMABAD,IND,0,12th Pass,"6,50,000",0
Aashish Ratre,JANJGIR CHAMPA,Peoples Party of India (Democratic),0,Post Graduate,"72,80,000",0
Aatma Ram Sahu,DURG,SUCI(C),0,Post Graduate,"48,000",0
Aaytu Ram Mandavi,BASTAR,BSP,0,8th Pass,"5,47,094",0
Abdallah Ibrahim,SECUNDERABAD,IND,0,12th Pass,"1,02,38,358",0
Abdual Rashid Ganie,SRINAGAR,Jammu & Kashmir National Panthers Party,0,8th Pass,"3,25,000",0
Abdul Azeem,SECUNDERABAD,IND,0,10th Pass,0,0
Abdul Azeez,BANGALORE NORTH,Karnataka Pragnyavantha Janatha Party,0,8th Pass,"6,22,054","58,000"
Abdul Aziz,KALIABOR,NPP,0,Graduate,"35,94,488",0
Abdul Baseeth,MAYILADUTHURAI,IND,0,Graduate,"44,415",0
Abdul Basheer,BANGALORE NORTH,IND,0,10th Pass,"13,50,000","1,01,32,000"
Abdul Hameed,DAKSHINA KANNADA,IND,0,5th Pass,"6,68,000",0
Abdul Jabbar K K,KANNUR,SDPI,3,10th Pass,"34,10,000",0
Abdul Kadir Mastan Sayyed,HINGOLI,IND,0,8th Pass,"7,00,000",0
Abdul Karim Hashimpeer Desai,BANGALORE NORTH,IND,0,Post Graduate,"1,65,99,316","1,24,00,000"
Abdul Khader,ERNAKULAM,Samajwadi Forward Bloc,0,8th Pass,"34,97,836",0
Abdul Khader Haji,LAKSHADWEEP,BJP,0,5th Pass,"3,88,24,182",0
Abdul Khaleque,BARPETA,INC,0,Post Graduate,"73,98,753","27,03,693"
Abdul Khaliq Bhat,SRINAGAR,SHS,0,8th Pass,"50,25,000",0
Abdul Majeed Faizy,MALAPPURAM,SDPI,2,10th Pass,"12,03,908",0
Abdul Nazeer Sab,DAVANAGERE,IND,0,5th Pass,"16,28,000","80,000"
Abdul Qayoom Wani,BARAMULLA,Jammu & Kashmir Peoples Democratic Party,0,Graduate Professional,"1,65,56,983","4,73,600"
Abdul Rahman,UDUPI CHIKMAGALUR,IND,0,8th Pass,"3,34,000","18,40,000"
Abdul Rais Ahmed Abdul Jabbar,NANDED,Ambedkar National Congress,1,5th Pass,0,0
Abdul Rashid Banday,SRINAGAR,IND,0,10th Pass,"1,92,55,000",0
Abdul Salam,MALAPPURAM,IND,0,8th Pass,"22,33,000","13,00,000"
Abdul Samad,NANDED,SP,0,12th Pass,"63,51,722","61,10,332"
Abdul Wahid Khan,ARARIA,IND,1,10th Pass,"15,45,000","1,19,028"
Abdul Waris,KURNOOL,SDPI,4,8th Pass,"51,10,000",0
Abdulbuhari.K,THANJAVUR,IND,0,10th Pass,"1,30,000",0
Abdulkarim Desai,CHIKKBALLAPUR,IND,0,Post Graduate,"85,99,316","31,00,000"
Abdulkudus Abdulmajid Molapiya,PATAN,IND,0,Literate,"7,56,000",0
Abdur Rahman,KATIHAR,Peoples Party of India (Democratic),0,12th Pass,"2,76,540","40,000"
Abdus Sadek Sarkar,BALURGHAT,INC,4,Graduate Professional,"2,18,68,500","98,84,000"
Abdus Sattar Mujahed,BIDAR,Akhil Bharatiya Muslim League (Secular),1,Graduate,"25,85,000",0
Abhijit Mukherjee,JANGIPUR,INC,0,Graduate Professional,"14,33,50,474","3,04,21,037"
Abhijit Vamanrao Awade-Bichukle,SANGLI,IND,2,Graduate,"4,41,102",0
Abhijit Wamanrao -Bichukale,SATARA,IND,2,Graduate,"3,24,408",0
Abhishek Priyadarshi,BHAGALPUR,IND,0,12th Pass,"97,09,948","40,70,000"
Abirami P,VILUPPURAM,Tamil Nadu Ilangyar Katchi,1,Graduate,"8,94,700","2,00,000"
Abu Hasem Khan Chowdhury,MALDAHA DAKSHIN,INC,0,Doctorate,"27,09,59,520","7,28,107"
"Abu Hena, S/O - Late Abdus Sattar",MURSHIDABAD,INC,0,Post Graduate,"80,21,988",0
"Abu Hena, S/O - Sazzad Ali",MURSHIDABAD,IND,0,12th Pass,"7,25,512",0
Abu Taher Bepari,DHUBRI,INC,1,Post Graduate,"3,73,95,652","22,10,543"
Abu Taher Khan,MURSHIDABAD,AITC,3,8th Pass,"89,26,616","13,50,000"
Achyutananda Samanta,KANDHAMAL,BJD,0,Doctorate,"12,44,722",0
Ad. Karande Manisha Manohar,SOLAPUR,IND,0,Graduate Professional,"20,000",0
Ad. Vikram Uttam Kasabe,SOLAPUR,IND,0,Post Graduate,"99,924",0
Adagal Rajendra,BAGALKOT,Bahujan Mukti Party,0,12th Pass,"18,58,950","8,50,000"
Adakmol Rohidas Ramesh,RAVER,Ambedkarite Party of India,0,12th Pass,"2,26,000",0
Adala Prabhakara Reddy,NELLORE,YSRCP,0,12th Pass,"2,21,16,63,364","15,22,81,255"
Adari Anand Kumar,ANAKAPALLE,TDP,0,10th Pass,"41,05,47,212","20,55,91,400"
Adhik Sampat Channe,SANGLI,IND,2,Graduate,"6,65,000",0
Adhikary Paresh Chandra,COOCH BEHAR,AITC,0,12th Pass,"4,17,75,148","41,20,964"
Adinarayana Inty,NANDYAL,BJP,1,Post Graduate,"3,38,85,898","44,79,155"
Adiraju Yedla,VIZIANAGARAM,INC,0,Post Graduate,"4,72,14,000","30,88,876"
Aditya Pradhan,NAWADA,Peoples Party of India (Democratic),0,Post Graduate,"34,06,595","1,63,050"
Admala Mahipal Reddy,NIZAMABAD,IND,0,12th Pass,"16,20,000","1,00,000"
Adoor Prakash,ATTINGAL,INC,7,Graduate Professional,"14,40,98,612","2,76,22,685"
Adv Narendra Sawaikar,SOUTH GOA,BJP,0,Graduate Professional,"1,45,26,550",0
Adv. Basheer Alady,KASARAGOD,BSP,0,Post Graduate,"14,38,476",0
Adv. Bhaskar Marotrao Neware,WARDHA,IND,0,Post Graduate,"1,35,345",0
Adv. K.C. Nazeer,PONNANI,SDPI,1,Graduate Professional,"29,85,000",0
Adv. Kumar Devba Kalel Patil,PUNE,IND,0,Graduate Professional,"3,06,000","4,32,900"
Adv. Mahesh Gajendragadkar,PUNE,Swarna Bharat Party,0,Post Graduate,"1,64,57,070","94,000"
Adv. Ramesh Devaram Dharmavat,PUNE,People�s Union Party,0,Graduate Professional,"23,78,25,757",0
Adv. Sachin Bhaskar Jore,MADHA,IND,3,Others,"56,26,000","15,65,000"
Adv. Sanjay Sharad Gangnaik8,RATNAGIRI SINDHUDURG,Samajwadi Forward Bloc,0,Graduate Professional,"1,18,29,351",0
Adv. Sharad Bahinaji Kamble,BEED,IND,0,Post Graduate,"1,80,000",0
Adv. Sreejith P R,WAYANAD,IND,1,Graduate Professional,120,"4,76,158"
Adv. Ulhas Shalikaram Dupare,NAGPUR,IND,0,Graduate Professional,"1,46,000",0
Adv. Vijaya Dilip Bagde,NAGPUR,Ambedkarite Party of India,0,Graduate Professional,"2,18,000",0
Adv. Vijayanand Shankarrao Shinde,MADHA,IND,0,Graduate Professional,"13,50,000",0
Adv. Yogesh Dattu Gullapelli,JALNA,IND,0,Post Graduate,"4,08,188",0
Adv.Girish Madan Patil,BARAMATI,IND,0,Graduate,"5,50,000",0
Adv.K.V.Sabu,KOLLAM,BJP,0,Post Graduate,"2,65,50,000","64,00,000"
Adv.Prakash Babu,KOZHIKODE,BJP,22,Post Graduate,"35,24,377","3,43,064"
Advocate Anjay Debsarma,RAIGANJ,IND,0,Post Graduate,"7,06,000",0
Afzaal,MEERUT,Bahujan Maha Party,2,8th Pass,"21,21,000","50,000"
Aga Syed Mohsin,SRINAGAR,Peoples Democratic Party,0,12th Pass,"1,20,50,000",0
Agarwal Kanaialal,RAIGANJ,AITC,4,Post Graduate,"2,06,95,117",0
Agatha K. Sangma,TURA,NPP,0,Post Graduate,"2,94,06,813",0
Agni Sriramachandran,CHENNAI SOUTH,IND,0,10th Pass,"30,00,000",0
Agri Krishnamurthy S S,TIRUVANNAMALAI,AIADMK,1,Graduate Professional,"7,04,03,250","98,87,013"
