Party,Cases
AAP,8
AIADMK,22
AIFB,14
AIMIM,1
AITC,22
AIUDF,3
Aadarsh Mithila Party,2
Aam Adhikar Morcha,3
Aam Janta Party (India),1
Aam Janta Party Rashtriya,3
Aapki Apni Party (Peoples),5
Aasra Lokmanch Party,2
Adarsh Samaj Party,1
Adhikar Vikas Party,1
Agila India Makkal Kazhagam,4
Ahimsa Socialist Party,1
Aihra National Party,4
Akhand Hind Party,1
Akhand Samaj Party,1
Akhil Bharat Hindu Mahasabha,2
Akhil Bharatiya Jan Sangh,1
Akhil Bharatiya Manavata Paksha,1
Akhil Bharatiya Muslim League (Secular),2
Akhil Bharatiya Sena,1
Akhil Bhartiya Ekata Party,1
Akhil Bhartiya Lok Dal,1
Akhil Bhartiya Sarvadharma Samaj Party,1
Akhil Hind Forward Bloc (Krantikari),1
Akila India Vallalar Peravai,1
All India Hindustan Congress Party,3
All India Jana Andolan Party,1
All India Majlis-E-Ittehadul Muslimeen,2
All India Minorities Front,2
All India N.R. Congress,1
All India Praja Party,3
All India Puratchi Thalaivar Makkal Munnettra,1
All Indian Rajiv Congress Party,1
All Indians Party,1
All Pensioner�s Party,1
All Peoples Party,1
Ambedkar National Congress,13
Ambedkar Samaj Party,6
Ambedkarist Republican Party,2
Ambedkarite Party of India,36
Amra Bangalee,4
Anaithu India Makkal Katchi,1
Anaithu Makkal Katchi,1
Anaithu Makkal Puratchi Katchi,2
Andhra Chaitanya Party,1
Andhra Rastra Praja Samithi,1
Anna YSR Congress Party,2
Anti Corruption Dynamic Party,10
Apna Desh Party,2
Asli Deshi Party,1
Asom Gana Parishad,3
Asom Jana Morcha,4
Assam Dristi Party,1
Autonomous State Demand Committee,1
Azad Mazdoor Kissan Party,1
B. C. United Front,1
BHARTIYA JANTA DAL,1
BJD,15
BJP,231
BSP,204
Bahujan Azad Party,1
Bahujan Maha Party,13
Bahujan Mukti Party,59
Bahujan Nyay Dal,1
Bahujan Republican Socialist Party,16
Bahujan Samyak Party (Mission),1
Bahujan Suraksha Dal,1
Bahujana Raajyam Party (Phule Ambedkar),1
Baliraja Party,3
Bhapase Party,1
Bharat Bhoomi Party,3
Bharat Bhrashtachar Mitao Party,1
Bharat Lok Sewak Party,1
Bharat Prabhat Party,7
Bharath Dharma Jana Sena,3
Bharatiya Bahujan Congress,2
Bharatiya Bahujan Parivartan Party,1
Bharatiya Bahujan Party,1
Bharatiya Bahujan Samta Party,2
Bharatiya Gana Parishad,4
Bharatiya Jan Kranti Dal (Democratic),1
Bharatiya Kisan Parivartan Party,1
Bharatiya Majdoor Janta Party,1
Bharatiya Momin Front,1
Bharatiya National Janta Dal,3
Bharatiya Peoples Party,1
Bharatiya Praja Surajya Paksha,7
Bharatiya Prajagala Kalyana Paksha,2
Bharatiya Prajatantrik Shudh Gandhiwadi Krish,1
Bharatiya Rashtravadi Paksha,1
Bharatiya Rashtriya Morcha,1
Bharatiya Sarvodaya Kranti Party,1
Bharatrashtra Democratic Party,1
Bharipa Bahujan Mahasangh,2
Bhartiya Anarakshit Party,4
